Time(ms),RPM,MotorTemp,MCUTemp,Iq_Actual,Pot1,Pot2,Pot3,Pot4,Pot5,BrakeVolt,Ax,Ay,Az,RollRate,PitchRate,YawRate
3588468,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3589075,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3589682,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3590289,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3590896,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3591503,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3592110,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3592717,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3593324,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3593931,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3594538,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
3595145,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
